metric,value,unit,status,pass_flag
stage7_status,PASS_SYSTEM_ANALYSIS_ONLY,status,PASS_SYSTEM_ANALYSIS_ONLY,1
stage7_plan_hash,1c6f99f158a118e5dc79efaa02076009cf103f87c9861d1dd52da27fb8608f23,sha256,PASS,1
stage7_source_tree_hash,16ee445f7045de64fc3add07f401b802b0da1df9a3b1c26661a34238cc90191d,sha256,PASS,1
stage6_evidence_bundle_hash,0c1f444603398e03865043af4e4c6e4a414dd15a3cc90e0539b19c56e990c839,sha256,PASS,1
candidate_pool_size,25,count,PASS,1
admissible_subset_count,961,count,PASS,1
evaluated_subset_count,961,count,PASS,1
design_scenario_count,640,count,PASS,1
validation_scenario_count,288,count,PASS,1
fim_holdout_scenario_count,256,count,PASS,1
registered_test_row_count,477,count,PASS,1
code_analyzer_message_count,0,count,PASS,1
scope_violation_count,0,count,PASS,1
data_processing_violation_count,0,count,PASS,1
FIM_evaluations,1292928,count,PASS,1
covariance_decompositions,2184,count,PASS,1
whitener_eigendecompositions,2184,count,PASS,1
manifold_evaluations,6985,count,PASS,1
derivative_evaluations,2368,count,PASS,1
generalized_eigenvalue_evaluations,2585856,count,PASS,1
greedy_add_drop_swap_evaluations,122,count,PASS,1
finite_sample_DML_score_calls,11734516,count,PASS,1
finite_sample_SVD_calls,11734516,count,PASS,1
runtime,1428.9983,second,PASS,1
peak_memory_estimate,110417088,byte,ESTIMATE,1
result_data_volume,1401807,byte,PASS,1
offline_exact_enumeration_runtime,246.6689,second,PASS,1
selected_output_bytes_complex_double,240,byte,PASS,1
selected_weight_memory_bytes,499200,byte,PASS,1
selected_estimated_data_movement_bytes,33520,byte,PASS,1
selected_measured_online_dbf_runtime,6.0689e-06,second_per_sample,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION,1
fim_operating_point_pass_count,1,count,PASS,1
finite_sample_pareto_pass_count,0,count,SYSTEM_ANALYSIS_ONLY,1
stage8_technical_permission,false,boolean,NOT_PERMITTED,1
